Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,52631.57894736842,catapult,Area,4816.462,FF,207,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,5366.284,FF,211,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5366.550,FF,212,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5948.292,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5931.534,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7509.712,FF,285,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7518.756,FF,283,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4388.734,FF,193,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4537.428,FF,204,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4800.768,FF,206,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,4816.462,FF,207,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,5366.284,FF,211,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5366.550,FF,212,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5948.292,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5931.534,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7509.712,FF,285,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7518.756,FF,283,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4388.734,FF,193,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4537.428,FF,204,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4800.768,FF,206,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,4816.462,FF,207,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,5366.284,FF,211,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5366.550,FF,212,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5948.292,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5931.534,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7509.712,FF,285,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7518.756,FF,283,catapult_asic_latency
Throughput,18181.81818181818,catapult,Area,4263.980,FF,212,catapult_asic_latency
Throughput,18181.81818181818,catapult,Area,4294.304,FF,212,catapult_asic_latency
Throughput,18181.81818181818,catapult,Area,4564.028,FF,214,catapult_asic_latency
Throughput,18181.81818181818,catapult,Area,4605.524,FF,214,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,4975.530,FF,218,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,5047.084,FF,218,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,5551.952,FF,231,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,5521.894,FF,231,catapult_asic_latency
Throughput,17543.859649122805,catapult,Area,6935.684,FF,252,catapult_asic_latency
Throughput,17241.379310344826,catapult,Area,6944.196,FF,252,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4388.734,FF,193,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4537.428,FF,204,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4800.768,FF,206,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,4816.462,FF,207,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,5366.284,FF,211,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5366.550,FF,212,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5948.292,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5931.534,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7509.712,FF,285,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7518.756,FF,283,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4388.734,FF,193,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4537.428,FF,204,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4800.768,FF,206,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,4816.462,FF,207,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,5366.284,FF,211,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5366.550,FF,212,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5948.292,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5931.534,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7509.712,FF,285,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7518.756,FF,283,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4388.734,FF,193,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4537.428,FF,204,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4800.768,FF,206,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,4816.462,FF,207,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,5366.284,FF,211,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5366.550,FF,212,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5948.292,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,5931.534,FF,238,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7509.712,FF,285,catapult_asic_latency
Throughput,52631.57894736842,catapult,Area,7518.756,FF,283,catapult_asic_latency
Throughput,18181.81818181818,catapult,Area,4263.980,FF,212,catapult_asic_latency
Throughput,18181.81818181818,catapult,Area,4294.304,FF,212,catapult_asic_latency
Throughput,18181.81818181818,catapult,Area,4564.028,FF,214,catapult_asic_latency
Throughput,18181.81818181818,catapult,Area,4605.524,FF,214,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,4975.530,FF,218,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,5047.084,FF,218,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,5551.952,FF,231,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,5521.894,FF,231,catapult_asic_latency
Throughput,17543.859649122805,catapult,Area,6935.684,FF,252,catapult_asic_latency
Throughput,17241.379310344826,catapult,Area,6944.196,FF,252,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4388.734,FF,193,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4537.428,FF,204,catapult_asic_latency
Throughput,55555.555555555555,catapult,Area,4800.768,FF,206,catapult_asic_latency
