Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,13513.513513513513,catapult,CLB,113,FF,434,catapult_fpga_latency
Throughput,13513.513513513513,catapult,LUT,572,FF,434,catapult_fpga_latency
Throughput,13513.513513513513,catapult,FF,434,FF,434,catapult_fpga_latency
Throughput,13513.513513513513,catapult,DSP,1,FF,434,catapult_fpga_latency
Throughput,13513.513513513513,catapult,BRAM,0,FF,434,catapult_fpga_latency
Throughput,11363.636363636364,catapult,CLB,178,FF,444,catapult_fpga_latency
Throughput,11363.636363636364,catapult,LUT,755,FF,444,catapult_fpga_latency
Throughput,11363.636363636364,catapult,FF,444,FF,444,catapult_fpga_latency
Throughput,11363.636363636364,catapult,DSP,1,FF,444,catapult_fpga_latency
Throughput,11363.636363636364,catapult,BRAM,0,FF,444,catapult_fpga_latency
Throughput,11627.906976744185,catapult,CLB,171,FF,444,catapult_fpga_latency
Throughput,11627.906976744185,catapult,LUT,739,FF,444,catapult_fpga_latency
Throughput,11627.906976744185,catapult,FF,444,FF,444,catapult_fpga_latency
Throughput,11627.906976744185,catapult,DSP,1,FF,444,catapult_fpga_latency
Throughput,11627.906976744185,catapult,BRAM,0,FF,444,catapult_fpga_latency
Throughput,8849.557522123894,catapult,CLB,236,FF,460,catapult_fpga_latency
Throughput,8849.557522123894,catapult,LUT,1014,FF,460,catapult_fpga_latency
Throughput,8849.557522123894,catapult,FF,460,FF,460,catapult_fpga_latency
Throughput,8849.557522123894,catapult,DSP,1,FF,460,catapult_fpga_latency
Throughput,8849.557522123894,catapult,BRAM,0,FF,460,catapult_fpga_latency
Throughput,9803.921568627451,catapult,CLB,262,FF,460,catapult_fpga_latency
Throughput,9803.921568627451,catapult,LUT,1014,FF,460,catapult_fpga_latency
Throughput,9803.921568627451,catapult,FF,460,FF,460,catapult_fpga_latency
Throughput,9803.921568627451,catapult,DSP,1,FF,460,catapult_fpga_latency
Throughput,9803.921568627451,catapult,BRAM,0,FF,460,catapult_fpga_latency
Throughput,27027.027027027027,catapult,CLB,110,FF,326,catapult_fpga_latency
Throughput,27027.027027027027,catapult,LUT,570,FF,326,catapult_fpga_latency
Throughput,27027.027027027027,catapult,FF,326,FF,326,catapult_fpga_latency
Throughput,27027.027027027027,catapult,DSP,2,FF,326,catapult_fpga_latency
Throughput,27027.027027027027,catapult,BRAM,0,FF,326,catapult_fpga_latency
Throughput,27027.027027027027,catapult,CLB,110,FF,326,catapult_fpga_latency
Throughput,27027.027027027027,catapult,LUT,570,FF,326,catapult_fpga_latency
Throughput,27027.027027027027,catapult,FF,326,FF,326,catapult_fpga_latency
Throughput,27027.027027027027,catapult,DSP,2,FF,326,catapult_fpga_latency
Throughput,27027.027027027027,catapult,BRAM,0,FF,326,catapult_fpga_latency
Throughput,27027.027027027027,catapult,CLB,151,FF,333,catapult_fpga_latency
Throughput,27027.027027027027,catapult,LUT,770,FF,333,catapult_fpga_latency
Throughput,27027.027027027027,catapult,FF,333,FF,333,catapult_fpga_latency
Throughput,27027.027027027027,catapult,DSP,2,FF,333,catapult_fpga_latency
Throughput,27027.027027027027,catapult,BRAM,0,FF,333,catapult_fpga_latency
Throughput,27027.027027027027,catapult,CLB,151,FF,333,catapult_fpga_latency
Throughput,27027.027027027027,catapult,LUT,770,FF,333,catapult_fpga_latency
Throughput,27027.027027027027,catapult,FF,333,FF,333,catapult_fpga_latency
Throughput,27027.027027027027,catapult,DSP,2,FF,333,catapult_fpga_latency
Throughput,27027.027027027027,catapult,BRAM,0,FF,333,catapult_fpga_latency
Throughput,24390.243902439022,catapult,CLB,199,FF,347,catapult_fpga_latency
Throughput,24390.243902439022,catapult,LUT,1054,FF,347,catapult_fpga_latency
Throughput,24390.243902439022,catapult,FF,347,FF,347,catapult_fpga_latency
Throughput,24390.243902439022,catapult,DSP,2,FF,347,catapult_fpga_latency
Throughput,24390.243902439022,catapult,BRAM,0,FF,347,catapult_fpga_latency
Throughput,24390.243902439022,catapult,CLB,199,FF,347,catapult_fpga_latency
Throughput,24390.243902439022,catapult,LUT,1054,FF,347,catapult_fpga_latency
Throughput,24390.243902439022,catapult,FF,347,FF,347,catapult_fpga_latency
Throughput,24390.243902439022,catapult,DSP,2,FF,347,catapult_fpga_latency
Throughput,24390.243902439022,catapult,BRAM,0,FF,347,catapult_fpga_latency
Throughput,27777.777777777777,catapult,CLB,164,FF,415,catapult_fpga_latency
Throughput,27777.777777777777,catapult,LUT,803,FF,415,catapult_fpga_latency
Throughput,27777.777777777777,catapult,FF,415,FF,415,catapult_fpga_latency
Throughput,27777.777777777777,catapult,DSP,3,FF,415,catapult_fpga_latency
Throughput,27777.777777777777,catapult,BRAM,0,FF,415,catapult_fpga_latency
Throughput,27777.777777777777,catapult,CLB,164,FF,415,catapult_fpga_latency
Throughput,27777.777777777777,catapult,LUT,803,FF,415,catapult_fpga_latency
Throughput,27777.777777777777,catapult,FF,415,FF,415,catapult_fpga_latency
Throughput,27777.777777777777,catapult,DSP,3,FF,415,catapult_fpga_latency
Throughput,27777.777777777777,catapult,BRAM,0,FF,415,catapult_fpga_latency
Throughput,25641.02564102564,catapult,CLB,235,FF,422,catapult_fpga_latency
Throughput,25641.02564102564,catapult,LUT,1203,FF,422,catapult_fpga_latency
Throughput,25641.02564102564,catapult,FF,422,FF,422,catapult_fpga_latency
Throughput,25641.02564102564,catapult,DSP,3,FF,422,catapult_fpga_latency
Throughput,25641.02564102564,catapult,BRAM,0,FF,422,catapult_fpga_latency
Throughput,25641.02564102564,catapult,CLB,235,FF,422,catapult_fpga_latency
Throughput,25641.02564102564,catapult,LUT,1203,FF,422,catapult_fpga_latency
Throughput,25641.02564102564,catapult,FF,422,FF,422,catapult_fpga_latency
Throughput,25641.02564102564,catapult,DSP,3,FF,422,catapult_fpga_latency
Throughput,25641.02564102564,catapult,BRAM,0,FF,422,catapult_fpga_latency
Throughput,26315.78947368421,catapult,CLB,282,FF,436,catapult_fpga_latency
Throughput,26315.78947368421,catapult,LUT,1451,FF,436,catapult_fpga_latency
Throughput,26315.78947368421,catapult,FF,436,FF,436,catapult_fpga_latency
Throughput,26315.78947368421,catapult,DSP,3,FF,436,catapult_fpga_latency
Throughput,26315.78947368421,catapult,BRAM,0,FF,436,catapult_fpga_latency
Throughput,24999.999999999996,catapult,CLB,303,FF,436,catapult_fpga_latency
Throughput,24999.999999999996,catapult,LUT,1450,FF,436,catapult_fpga_latency
Throughput,24999.999999999996,catapult,FF,436,FF,436,catapult_fpga_latency
Throughput,24999.999999999996,catapult,DSP,3,FF,436,catapult_fpga_latency
Throughput,24999.999999999996,catapult,BRAM,0,FF,436,catapult_fpga_latency
Throughput,31250.0,catapult,CLB,91,FF,213,catapult_fpga_latency
Throughput,31250.0,catapult,LUT,536,FF,213,catapult_fpga_latency
Throughput,31250.0,catapult,FF,213,FF,213,catapult_fpga_latency
Throughput,31250.0,catapult,DSP,1,FF,213,catapult_fpga_latency
Throughput,31250.0,catapult,BRAM,0,FF,213,catapult_fpga_latency
Throughput,31250.0,catapult,CLB,91,FF,213,catapult_fpga_latency
Throughput,31250.0,catapult,LUT,536,FF,213,catapult_fpga_latency
Throughput,31250.0,catapult,FF,213,FF,213,catapult_fpga_latency
Throughput,31250.0,catapult,DSP,1,FF,213,catapult_fpga_latency
Throughput,31250.0,catapult,BRAM,0,FF,213,catapult_fpga_latency
Throughput,32258.06451612903,catapult,CLB,150,FF,248,catapult_fpga_latency
Throughput,32258.06451612903,catapult,LUT,753,FF,248,catapult_fpga_latency
Throughput,32258.06451612903,catapult,FF,248,FF,248,catapult_fpga_latency
Throughput,32258.06451612903,catapult,DSP,1,FF,248,catapult_fpga_latency
Throughput,32258.06451612903,catapult,BRAM,0,FF,248,catapult_fpga_latency
Throughput,25641.02564102564,catapult,CLB,222,FF,270,catapult_fpga_latency
Throughput,25641.02564102564,catapult,LUT,1187,FF,270,catapult_fpga_latency
Throughput,25641.02564102564,catapult,FF,270,FF,270,catapult_fpga_latency
Throughput,25641.02564102564,catapult,DSP,1,FF,270,catapult_fpga_latency
Throughput,25641.02564102564,catapult,BRAM,0,FF,270,catapult_fpga_latency
Throughput,25641.02564102564,catapult,CLB,222,FF,270,catapult_fpga_latency
Throughput,25641.02564102564,catapult,LUT,1187,FF,270,catapult_fpga_latency
Throughput,25641.02564102564,catapult,FF,270,FF,270,catapult_fpga_latency
Throughput,25641.02564102564,catapult,DSP,1,FF,270,catapult_fpga_latency
Throughput,25641.02564102564,catapult,BRAM,0,FF,270,catapult_fpga_latency
Throughput,13888.888888888889,catapult,CLB,142,FF,444,catapult_fpga_latency
Throughput,13888.888888888889,catapult,LUT,751,FF,444,catapult_fpga_latency
Throughput,13888.888888888889,catapult,FF,444,FF,444,catapult_fpga_latency
Throughput,13888.888888888889,catapult,DSP,1,FF,444,catapult_fpga_latency
Throughput,13888.888888888889,catapult,BRAM,0,FF,444,catapult_fpga_latency
Throughput,14285.714285714286,catapult,CLB,146,FF,444,catapult_fpga_latency
Throughput,14285.714285714286,catapult,LUT,731,FF,444,catapult_fpga_latency
Throughput,14285.714285714286,catapult,FF,444,FF,444,catapult_fpga_latency
Throughput,14285.714285714286,catapult,DSP,1,FF,444,catapult_fpga_latency
Throughput,14285.714285714286,catapult,BRAM,0,FF,444,catapult_fpga_latency
Throughput,13513.513513513513,catapult,CLB,204,FF,451,catapult_fpga_latency
Throughput,13513.513513513513,catapult,LUT,886,FF,451,catapult_fpga_latency
Throughput,13513.513513513513,catapult,FF,451,FF,451,catapult_fpga_latency
Throughput,13513.513513513513,catapult,DSP,1,FF,451,catapult_fpga_latency
Throughput,13513.513513513513,catapult,BRAM,0,FF,451,catapult_fpga_latency
Throughput,14285.714285714286,catapult,CLB,201,FF,451,catapult_fpga_latency
Throughput,14285.714285714286,catapult,LUT,885,FF,451,catapult_fpga_latency
Throughput,14285.714285714286,catapult,FF,451,FF,451,catapult_fpga_latency
Throughput,14285.714285714286,catapult,DSP,1,FF,451,catapult_fpga_latency
Throughput,14285.714285714286,catapult,BRAM,0,FF,451,catapult_fpga_latency
Throughput,11764.70588235294,catapult,CLB,252,FF,468,catapult_fpga_latency
Throughput,11764.70588235294,catapult,LUT,1201,FF,468,catapult_fpga_latency
Throughput,11764.70588235294,catapult,FF,468,FF,468,catapult_fpga_latency
Throughput,11764.70588235294,catapult,DSP,1,FF,468,catapult_fpga_latency
Throughput,11764.70588235294,catapult,BRAM,0,FF,468,catapult_fpga_latency
Throughput,11904.761904761905,catapult,CLB,280,FF,467,catapult_fpga_latency
Throughput,11904.761904761905,catapult,LUT,1203,FF,467,catapult_fpga_latency
Throughput,11904.761904761905,catapult,FF,467,FF,467,catapult_fpga_latency
Throughput,11904.761904761905,catapult,DSP,1,FF,467,catapult_fpga_latency
Throughput,11904.761904761905,catapult,BRAM,0,FF,467,catapult_fpga_latency
Throughput,37037.03703703704,catapult,CLB,107,FF,357,catapult_fpga_latency
Throughput,37037.03703703704,catapult,LUT,611,FF,357,catapult_fpga_latency
Throughput,37037.03703703704,catapult,FF,357,FF,357,catapult_fpga_latency
Throughput,37037.03703703704,catapult,DSP,2,FF,357,catapult_fpga_latency
Throughput,37037.03703703704,catapult,BRAM,0,FF,357,catapult_fpga_latency
Throughput,37037.03703703704,catapult,CLB,107,FF,357,catapult_fpga_latency
Throughput,37037.03703703704,catapult,LUT,611,FF,357,catapult_fpga_latency
Throughput,37037.03703703704,catapult,FF,357,FF,357,catapult_fpga_latency
Throughput,37037.03703703704,catapult,DSP,2,FF,357,catapult_fpga_latency
Throughput,37037.03703703704,catapult,BRAM,0,FF,357,catapult_fpga_latency
Throughput,34482.75862068965,catapult,CLB,210,FF,362,catapult_fpga_latency
Throughput,34482.75862068965,catapult,LUT,978,FF,362,catapult_fpga_latency
Throughput,34482.75862068965,catapult,FF,362,FF,362,catapult_fpga_latency
Throughput,34482.75862068965,catapult,DSP,2,FF,362,catapult_fpga_latency
Throughput,34482.75862068965,catapult,BRAM,0,FF,362,catapult_fpga_latency
Throughput,34482.75862068965,catapult,CLB,210,FF,362,catapult_fpga_latency
Throughput,34482.75862068965,catapult,LUT,978,FF,362,catapult_fpga_latency
Throughput,34482.75862068965,catapult,FF,362,FF,362,catapult_fpga_latency
Throughput,34482.75862068965,catapult,DSP,2,FF,362,catapult_fpga_latency
Throughput,34482.75862068965,catapult,BRAM,0,FF,362,catapult_fpga_latency
Throughput,31250.0,catapult,CLB,283,FF,378,catapult_fpga_latency
Throughput,31250.0,catapult,LUT,1308,FF,378,catapult_fpga_latency
Throughput,31250.0,catapult,FF,378,FF,378,catapult_fpga_latency
Throughput,31250.0,catapult,DSP,2,FF,378,catapult_fpga_latency
Throughput,31250.0,catapult,BRAM,0,FF,378,catapult_fpga_latency
Throughput,31250.0,catapult,CLB,283,FF,378,catapult_fpga_latency
Throughput,31250.0,catapult,LUT,1308,FF,378,catapult_fpga_latency
Throughput,31250.0,catapult,FF,378,FF,378,catapult_fpga_latency
Throughput,31250.0,catapult,DSP,2,FF,378,catapult_fpga_latency
Throughput,31250.0,catapult,BRAM,0,FF,378,catapult_fpga_latency
Throughput,35714.28571428572,catapult,CLB,168,FF,483,catapult_fpga_latency
Throughput,35714.28571428572,catapult,LUT,950,FF,483,catapult_fpga_latency
Throughput,35714.28571428572,catapult,FF,483,FF,483,catapult_fpga_latency
Throughput,35714.28571428572,catapult,DSP,3,FF,483,catapult_fpga_latency
Throughput,35714.28571428572,catapult,BRAM,0,FF,483,catapult_fpga_latency
Throughput,34482.75862068965,catapult,CLB,168,FF,483,catapult_fpga_latency
Throughput,34482.75862068965,catapult,LUT,950,FF,483,catapult_fpga_latency
Throughput,34482.75862068965,catapult,FF,483,FF,483,catapult_fpga_latency
Throughput,34482.75862068965,catapult,DSP,3,FF,483,catapult_fpga_latency
Throughput,34482.75862068965,catapult,BRAM,0,FF,483,catapult_fpga_latency
Throughput,38461.53846153846,catapult,CLB,239,FF,459,catapult_fpga_latency
Throughput,38461.53846153846,catapult,LUT,1264,FF,459,catapult_fpga_latency
Throughput,38461.53846153846,catapult,FF,459,FF,459,catapult_fpga_latency
Throughput,38461.53846153846,catapult,DSP,3,FF,459,catapult_fpga_latency
Throughput,38461.53846153846,catapult,BRAM,0,FF,459,catapult_fpga_latency
Throughput,38461.53846153846,catapult,CLB,239,FF,459,catapult_fpga_latency
Throughput,38461.53846153846,catapult,LUT,1264,FF,459,catapult_fpga_latency
Throughput,38461.53846153846,catapult,FF,459,FF,459,catapult_fpga_latency
Throughput,38461.53846153846,catapult,DSP,3,FF,459,catapult_fpga_latency
Throughput,38461.53846153846,catapult,BRAM,0,FF,459,catapult_fpga_latency
Throughput,31250.0,catapult,CLB,295,FF,473,catapult_fpga_latency
Throughput,31250.0,catapult,LUT,1700,FF,473,catapult_fpga_latency
Throughput,31250.0,catapult,FF,473,FF,473,catapult_fpga_latency
Throughput,31250.0,catapult,DSP,3,FF,473,catapult_fpga_latency
Throughput,31250.0,catapult,BRAM,0,FF,473,catapult_fpga_latency
Throughput,28571.428571428572,catapult,CLB,400,FF,474,catapult_fpga_latency
Throughput,28571.428571428572,catapult,LUT,1699,FF,474,catapult_fpga_latency
Throughput,28571.428571428572,catapult,FF,474,FF,474,catapult_fpga_latency
Throughput,28571.428571428572,catapult,DSP,3,FF,474,catapult_fpga_latency
Throughput,28571.428571428572,catapult,BRAM,0,FF,474,catapult_fpga_latency
Throughput,34482.75862068965,catapult,CLB,147,FF,266,catapult_fpga_latency
Throughput,34482.75862068965,catapult,LUT,805,FF,266,catapult_fpga_latency
Throughput,34482.75862068965,catapult,FF,266,FF,266,catapult_fpga_latency
Throughput,34482.75862068965,catapult,DSP,1,FF,266,catapult_fpga_latency
Throughput,34482.75862068965,catapult,BRAM,0,FF,266,catapult_fpga_latency
Throughput,35714.28571428572,catapult,CLB,238,FF,298,catapult_fpga_latency
Throughput,35714.28571428572,catapult,LUT,1250,FF,298,catapult_fpga_latency
Throughput,35714.28571428572,catapult,FF,298,FF,298,catapult_fpga_latency
Throughput,35714.28571428572,catapult,DSP,1,FF,298,catapult_fpga_latency
Throughput,35714.28571428572,catapult,BRAM,0,FF,298,catapult_fpga_latency
Throughput,35714.28571428572,catapult,CLB,238,FF,298,catapult_fpga_latency
Throughput,35714.28571428572,catapult,LUT,1250,FF,298,catapult_fpga_latency
Throughput,35714.28571428572,catapult,FF,298,FF,298,catapult_fpga_latency
Throughput,35714.28571428572,catapult,DSP,1,FF,298,catapult_fpga_latency
Throughput,35714.28571428572,catapult,BRAM,0,FF,298,catapult_fpga_latency
Throughput,31250.0,catapult,CLB,325,FF,314,catapult_fpga_latency
Throughput,31250.0,catapult,LUT,1861,FF,314,catapult_fpga_latency
Throughput,31250.0,catapult,FF,314,FF,314,catapult_fpga_latency
Throughput,31250.0,catapult,DSP,1,FF,314,catapult_fpga_latency
Throughput,31250.0,catapult,BRAM,0,FF,314,catapult_fpga_latency
Throughput,31250.0,catapult,CLB,325,FF,314,catapult_fpga_latency
Throughput,31250.0,catapult,LUT,1861,FF,314,catapult_fpga_latency
Throughput,31250.0,catapult,FF,314,FF,314,catapult_fpga_latency
Throughput,31250.0,catapult,DSP,1,FF,314,catapult_fpga_latency
Throughput,31250.0,catapult,BRAM,0,FF,314,catapult_fpga_latency
Throughput,13888.888888888889,catapult,CLB,142,FF,444,catapult_fpga_latency
Throughput,13888.888888888889,catapult,LUT,751,FF,444,catapult_fpga_latency
Throughput,13888.888888888889,catapult,FF,444,FF,444,catapult_fpga_latency
Throughput,13888.888888888889,catapult,DSP,1,FF,444,catapult_fpga_latency
Throughput,13888.888888888889,catapult,BRAM,0,FF,444,catapult_fpga_latency
Throughput,14285.714285714286,catapult,CLB,146,FF,444,catapult_fpga_latency
Throughput,14285.714285714286,catapult,LUT,731,FF,444,catapult_fpga_latency
Throughput,14285.714285714286,catapult,FF,444,FF,444,catapult_fpga_latency
Throughput,14285.714285714286,catapult,DSP,1,FF,444,catapult_fpga_latency
Throughput,14285.714285714286,catapult,BRAM,0,FF,444,catapult_fpga_latency
Throughput,13513.513513513513,catapult,CLB,204,FF,451,catapult_fpga_latency
Throughput,13513.513513513513,catapult,LUT,886,FF,451,catapult_fpga_latency
Throughput,13513.513513513513,catapult,FF,451,FF,451,catapult_fpga_latency
Throughput,13513.513513513513,catapult,DSP,1,FF,451,catapult_fpga_latency
Throughput,13513.513513513513,catapult,BRAM,0,FF,451,catapult_fpga_latency
Throughput,14285.714285714286,catapult,CLB,201,FF,451,catapult_fpga_latency
Throughput,14285.714285714286,catapult,LUT,885,FF,451,catapult_fpga_latency
Throughput,14285.714285714286,catapult,FF,451,FF,451,catapult_fpga_latency
Throughput,14285.714285714286,catapult,DSP,1,FF,451,catapult_fpga_latency
Throughput,14285.714285714286,catapult,BRAM,0,FF,451,catapult_fpga_latency
Throughput,11764.70588235294,catapult,CLB,252,FF,468,catapult_fpga_latency
Throughput,11764.70588235294,catapult,LUT,1201,FF,468,catapult_fpga_latency
Throughput,11764.70588235294,catapult,FF,468,FF,468,catapult_fpga_latency
Throughput,11764.70588235294,catapult,DSP,1,FF,468,catapult_fpga_latency
Throughput,11764.70588235294,catapult,BRAM,0,FF,468,catapult_fpga_latency
Throughput,11904.761904761905,catapult,CLB,280,FF,467,catapult_fpga_latency
Throughput,11904.761904761905,catapult,LUT,1203,FF,467,catapult_fpga_latency
Throughput,11904.761904761905,catapult,FF,467,FF,467,catapult_fpga_latency
Throughput,11904.761904761905,catapult,DSP,1,FF,467,catapult_fpga_latency
Throughput,11904.761904761905,catapult,BRAM,0,FF,467,catapult_fpga_latency
